name,puan,fiyat,uzaklık
Hotel Nova Plaza Taksim Square,6.8,₺2.253,Kadıköy 10.5 km uzaklıkta
Hotel Septimum,7.9,₺2.840,Kadıköy 9.6 km uzaklıkta
Hotel Aldem,7.6,₺1.570,Kadıköy 9.5 km uzaklıkta
Senator Hotel Taksim,8.6,₺3.038,Kadıköy 10.5 km uzaklıkta
Ada Istanbul,9.2,₺1.498,Kadıköy 9.6 km uzaklıkta
Green Palmiye Otel,7.7,₺749,Kadıköy 9.8 km uzaklıkta
Know Hostel,8.7,₺2.174,Kadıköy 9.6 km uzaklıkta
Grand Yavuz Hotel,7.2,₺3.365,Kadıköy 9.9 km uzaklıkta
Asur Hotel,8.5,₺2.185,Kadıköy 9.6 km uzaklıkta
Mytra Hotel,8.4,₺2.275,Kadıköy 8.9 km uzaklıkta
Hotel Modern Sultan,8.6,₺1.651,Kadıköy 9.4 km uzaklıkta
Eastanbulsuite,9.0,₺4.457,Kadıköy 9.1 km uzaklıkta
Faik Pasha Suites Special Category,8.8,₺3.549,Kadıköy 10.3 km uzaklıkta
Ottoman Luxury,5.1,₺2.448,Kadıköy 9.4 km uzaklıkta
Ahmet Efendi Evi,8.9,₺1.095,Kadıköy 9.0 km uzaklıkta
Venue Istanbul,8.9,₺1.300,Kadıköy 9.9 km uzaklıkta
Four Doors Istanbul,8.9,₺2.738,Kadıköy 9.7 km uzaklıkta
Galata M84,9.1,₺4.458,Kadıköy 10.6 km uzaklıkta
Holiday Inn Istanbul Sisli,8.4,₺3.145,Kadıköy 11.9 km uzaklıkta
Burckin Hotel,7.4,₺1.310,Kadıköy 9.6 km uzaklıkta
Yüksel,7.5,₺14.471,Kadıköy 10.8 km uzaklıkta
Vicenza,7.8,₺1.862,Kadıköy 11.1 km uzaklıkta
Naz City,8.4,₺7.086,Kadıköy 10.9 km uzaklıkta
Hotel Sultanahmet,6.8,₺1.683,Kadıköy 9.4 km uzaklıkta
Prestige Hotel Istanbul,7.1,₺2.906,Kadıköy 11.0 km uzaklıkta
Hotel DeCamondo,9.6,₺5.519,Kadıköy 10.3 km uzaklıkta
Miller,8.9,₺4.739,Kadıköy 10.1 km uzaklıkta
Pell Palace Hotel & Spa,8.7,₺4.017,Kadıköy 9.9 km uzaklıkta
Mr. Bird,8.6,₺1.900,Kadıköy 9.6 km uzaklıkta
Cihangir,8.4,₺3.130,Kadıköy 10.1 km uzaklıkta
Alzer,8.4,₺1.995,Kadıköy 9.5 km uzaklıkta
Yeni Hotel,7.5,₺957,Kadıköy 9.5 km uzaklıkta
Amira Hotel,9.7,₺2.386,Kadıköy 9.4 km uzaklıkta
Hali,6.8,₺2.575,Kadıköy 9.6 km uzaklıkta
Primero,9.4,₺1.745,Kadıköy 9.9 km uzaklıkta
Lausos Palace,4.7,₺3.063,Kadıköy 11.3 km uzaklıkta
Premist Hotels Taksim,8.1,₺1.968,Kadıköy 10.4 km uzaklıkta
Hotel Sultan House,7.7,₺1.664,Kadıköy 9.5 km uzaklıkta
Seher,6.7,₺1.460,Kadıköy 9.5 km uzaklıkta
Puffin Suits,7.6,₺2.083,Kadıköy 9.6 km uzaklıkta
No11 Hotel & Apartments,8.5,₺1.932,Kadıköy 10.6 km uzaklıkta
Hotel Garden House Istanbul,8.7,₺1.805,Kadıköy 9.6 km uzaklıkta
Büyük Londra Oteli,7.1,₺1.949,Kadıköy 10.7 km uzaklıkta
Beethoven Premium Hotel,8.7,₺3.675,Kadıköy 11.1 km uzaklıkta
Hotel Novano,9.1,₺1.900,Kadıköy 9.1 km uzaklıkta
Emirhan Inn,7.8,₺1.304,Kadıköy 9.7 km uzaklıkta
Hotel Blue Tuana,7.1,₺1.293,Kadıköy 9.1 km uzaklıkta
Bufes,3.4,₺783,Kadıköy 9.1 km uzaklıkta
Hotel Grand Washington,6.7,₺2.545,Kadıköy 11.1 km uzaklıkta
Alpinn Hotel,8.0,₺2.284,Kadıköy 10.3 km uzaklıkta
Royal Bosphorus Hotel,6.6,₺1.346,Kadıköy 9.5 km uzaklıkta
Hotel Le Safran Suite - Boutique Class,6.8,₺1.415,Kadıköy 9.4 km uzaklıkta
The Craton,7.9,₺3.172,Kadıköy 12.0 km uzaklıkta
Hippodrome Hotel,8.0,₺1.617,Kadıköy 9.0 km uzaklıkta
Hotel Bellezza,8.6,₺2.133,Kadıköy 9.3 km uzaklıkta
Hera Montagna Hotel,6.9,₺1.181,Kadıköy 10.9 km uzaklıkta
Business Life Butik,8.4,₺2.665,Kadıköy 11.5 km uzaklıkta
Elanaz Hotel,9.1,₺1.960,Kadıköy 9.6 km uzaklıkta
Boss Sultanahmet,9.0,₺1.458,Kadıköy 9.8 km uzaklıkta
Park By Clover,8.6,₺2.000,Kadıköy 11.0 km uzaklıkta
Kaftan,8.0,₺1.315,Kadıköy 9.0 km uzaklıkta
Golden Pen,7.8,₺1.880,Kadıköy 9.6 km uzaklıkta
Ragip Pasha Apartments,8.1,₺1.865,Kadıköy 10.5 km uzaklıkta
Hotel Mara Istanbul,6.3,₺893,Kadıköy 10.5 km uzaklıkta
Hotel Akcinar,7.6,₺1.771,Kadıköy 9.6 km uzaklıkta
Nayla Palace,6.4,₺2.634,Kadıköy 9.1 km uzaklıkta
Ottomarin,7.5,₺1.197,Kadıköy 9.1 km uzaklıkta
Sub Karaköy - Special Class,8.4,₺1.811,Kadıköy 10.0 km uzaklıkta
Antis Special Class,7.4,₺2.255,Kadıköy 9.1 km uzaklıkta
Hotel Pierre Loti,8.2,₺4.951,Kadıköy 9.7 km uzaklıkta
Tulip Guesthouse,8.8,₺1.173,Kadıköy 8.9 km uzaklıkta
Samir,7.6,₺2.153,Kadıköy 10.9 km uzaklıkta
Istanbul Sirkeci,5.8,₺2.436,Kadıköy 9.6 km uzaklıkta
Marmara Guest House Istanbul,9.4,₺1.578,Kadıköy 8.9 km uzaklıkta
Hotel Han,8.2,₺1.159,Kadıköy 9.4 km uzaklıkta
Vita Suites Karaköy,7.8,₺1.842,Kadıköy 10.2 km uzaklıkta
Queens Land Istanbul,7.6,₺1.956,Kadıköy 9.7 km uzaklıkta
Acra Hotel,8.8,₺1.528,Kadıköy 9.0 km uzaklıkta
Deluxe Newport,7.7,₺1.112,Kadıköy 9.9 km uzaklıkta
Viva Deluxe Hotel,7.0,₺1.201,Kadıköy 9.6 km uzaklıkta
Aura Suites,7.6,₺6.473,Kadıköy 11.0 km uzaklıkta
Cihangir Palace Istanbul,6.5,₺1.474,Kadıköy 9.9 km uzaklıkta
Chakra Suites,9.0,₺2.800,Kadıköy 10.3 km uzaklıkta
Daru Sultan Galata,8.7,₺4.243,Kadıköy 10.7 km uzaklıkta
Saruhan,9.4,₺1.893,Kadıköy 9.8 km uzaklıkta
Collage Taksim Hotel,8.5,₺1.485,Kadıköy 10.5 km uzaklıkta
Nexthouse Pera,8.6,₺2.782,Kadıköy 10.6 km uzaklıkta
Berjer Boutique & Spa,9.1,₺2.534,Kadıköy 10.8 km uzaklıkta
Room Mate Emir,9.0,₺4.409,Kadıköy 10.4 km uzaklıkta
Hotel Crystal Istanbul,7.3,₺3.558,Kadıköy 10.5 km uzaklıkta
Kare Hotel Sultanahmet,9.4,₺2.631,Kadıköy 9.8 km uzaklıkta
Skyblue Istanbul Hotel,7.6,₺1.200,Kadıköy 9.8 km uzaklıkta
Suiteness Taksim Hotel,7.4,₺2.124,Kadıköy 10.2 km uzaklıkta
Feronya,7.3,₺1.897,Kadıköy 10.7 km uzaklıkta
Golden Horn istanbul,7.8,₺1.360,Kadıköy 9.6 km uzaklıkta
Ambassador Hotel Istanbul,8.5,₺2.065,Kadıköy 9.4 km uzaklıkta
Grand Marcello,8.8,₺2.076,Kadıköy 9.8 km uzaklıkta
Holiday Inn Istanbul Old city,8.6,₺2.561,Kadıköy 11.3 km uzaklıkta
Hotel Collage Pera,8.3,₺1.498,Kadıköy 10.6 km uzaklıkta
Zeyn Otel,9.8,₺1.490,Kadıköy 9.7 km uzaklıkta
Hotel Momento,8.3,₺2.307,Kadıköy 10.5 km uzaklıkta
Jurnal Hotel,6.8,₺1.139,Kadıköy 10.6 km uzaklıkta
Hotel Turkoman,8.2,₺1.288,Kadıköy 9.5 km uzaklıkta
Seminal,6.0,₺2.696,Kadıköy 10.5 km uzaklıkta
Cher Hotel & Spa,7.5,₺3.747,Kadıköy 11.1 km uzaklıkta
Sea Mansion Suites & Spa,9.0,₺2.571,Kadıköy 9.3 km uzaklıkta
Turk Art Hotel,7.6,₺2.152,Kadıköy 9.1 km uzaklıkta
Emine Sultan Hotel,8.2,₺1.287,Kadıköy 9.3 km uzaklıkta
Elibol,7.8,₺2.029,Kadıköy 10.6 km uzaklıkta
Enderun Hotel Istanbul,8.6,₺1.708,Kadıköy 10.2 km uzaklıkta
Ada Suites Nisantasi,9.7,₺3.364,Kadıköy 11.0 km uzaklıkta
La Villa,7.6,₺2.010,Kadıköy 10.6 km uzaklıkta
Arena Special Class,7.4,₺2.182,Kadıköy 9.6 km uzaklıkta
The Roomy Hotel Nişantaşı,7.2,₺2.410,Kadıköy 11.2 km uzaklıkta
Cape Palace Hotel,9.2,₺2.456,Kadıköy 9.0 km uzaklıkta
Ottomania Hotel,8.3,₺1.722,Kadıköy 9.4 km uzaklıkta
Ada Palas Butik Hotel Buyukada,9.4,₺1.622,Kadıköy 12.5 km uzaklıkta
Istanbul Box,7.6,₺2.236,Kadıköy 11.1 km uzaklıkta
Artefes,7.2,₺1.465,Kadıköy 9.4 km uzaklıkta
The White Orient,8.5,₺2.363,Kadıköy 10.8 km uzaklıkta
Gedik Paşa Konağı,6.4,₺1.481,Kadıköy 10.1 km uzaklıkta
Ravi Hotel,9.7,₺2.383,Kadıköy 9.6 km uzaklıkta
Beşiktaş The Capital Suites,7.7,₺1.920,Kadıköy 9.7 km uzaklıkta
Sehir Old City,7.0,₺2.038,Kadıköy 9.6 km uzaklıkta
Istasyon,8.1,₺2.365,Kadıköy 9.6 km uzaklıkta
Shabby Guesthouse,6.0,₺976,Kadıköy 9.0 km uzaklıkta
Hotel Artefes,8.6,₺1.308,Kadıköy 9.4 km uzaklıkta
Weingart Port Hotel,7.0,₺1.540,Kadıköy 10.1 km uzaklıkta
Edition Old City Hotel,8.2,₺2.180,Kadıköy 10.5 km uzaklıkta
Alis Residence,8.6,₺1.644,Kadıköy 9.5 km uzaklıkta
Hotel Magnificent,6.3,₺686,Kadıköy 9.6 km uzaklıkta
Blu Istanbul,6.0,₺926,Kadıköy 9.5 km uzaklıkta
Hotel Grand Liza,6.3,₺1.221,Kadıköy 10.3 km uzaklıkta
Sunrise Istanbul Suites,5.8,₺1.128,Kadıköy 9.6 km uzaklıkta
Hotel Inter Istanbul,7.7,₺2.352,Kadıköy 10.4 km uzaklıkta
Hotellino,8.9,₺2.026,Kadıköy 9.5 km uzaklıkta
Rose Bouquets Hotel,4.8,₺1.243,Kadıköy 9.5 km uzaklıkta
Ravi Hotel,9.6,₺2.507,Kadıköy 9.5 km uzaklıkta
Venera,7.6,₺3.349,Kadıköy 10.8 km uzaklıkta
Antea Hotel Oldcity,7.8,₺1.751,Kadıköy 9.7 km uzaklıkta
Abella,4.2,₺1.285,Kadıköy 9.3 km uzaklıkta
Best Nobel,6.9,₺1.177,Kadıköy 9.6 km uzaklıkta
Sultan Hostel,8.0,₺833,Kadıköy 9.0 km uzaklıkta
Bizim,8.0,₺2.550,Kadıköy 10.1 km uzaklıkta
Centrum,8.0,₺1.975,Kadıköy 9.6 km uzaklıkta
Ansen Suites,9.0,₺4.621,Kadıköy 10.7 km uzaklıkta
Hotel Venera,7.4,₺1.691,Kadıköy 10.8 km uzaklıkta
Homelike,8.6,₺2.458,Kadıköy 11.3 km uzaklıkta
Manesol Old City Bosphorus,7.8,₺2.484,Kadıköy 9.8 km uzaklıkta
Amber Hotel Istanbul,7.2,₺1.391,Kadıköy 10.2 km uzaklıkta
Hotel Miran,8.4,₺1.964,Kadıköy 9.8 km uzaklıkta
Ayasofya,5.7,₺892,Kadıköy 9.6 km uzaklıkta
Movenpick Hotel Istanbul Bosphorus,8.6,₺4.869,Kadıköy 10.9 km uzaklıkta
AKKA Lush Taksim,8.0,₺2.396,Kadıköy 10.2 km uzaklıkta
Petros Hotel,8.9,₺2.106,Kadıköy 10.7 km uzaklıkta
Asitane Life,4.8,₺817,Kadıköy 9.9 km uzaklıkta
Askoc,7.3,₺2.106,Kadıköy 9.6 km uzaklıkta
Sirkeci Quietness Hotel,8.0,₺1.666,Kadıköy 9.6 km uzaklıkta
Rixos Pera Istanbul,8.9,₺5.442,Kadıköy 10.8 km uzaklıkta
Tashkonak Studio Suites,8.0,₺1.362,Kadıköy 9.2 km uzaklıkta
Villa Sweet Hotel,8.9,₺3.542,Kadıköy 9.6 km uzaklıkta
Mount Ararat Hotel,7.6,₺1.192,Kadıköy 10.2 km uzaklıkta
Ramada Istanbul Grand Bazaar,7.3,₺2.576,Kadıköy 11.3 km uzaklıkta
Kafkas Hotel İstanbul,7.2,₺878,Kadıköy 9.6 km uzaklıkta
Hotel Tria Elegance,8.0,₺6.956,Kadıköy 9.1 km uzaklıkta
Bucoleon,6.8,₺2.894,Kadıköy 9.4 km uzaklıkta
Halifaks Istanbul,8.8,₺2.501,Kadıköy 11.6 km uzaklıkta
Akka Suite Taksim,8.6,₺2.264,Kadıköy 10.4 km uzaklıkta
Gallery Residence,8.3,₺3.116,Kadıköy 11.1 km uzaklıkta
Oldcity Viva Hotel,6.4,₺2.295,Kadıköy 9.6 km uzaklıkta
Taksim Star,6.3,₺1.690,Kadıköy 10.2 km uzaklıkta
Sirkeci Esen Hotel,6.5,₺1.771,Kadıköy 9.6 km uzaklıkta
Endless Suites Taksim,7.4,₺2.037,Kadıköy 10.7 km uzaklıkta
Vizyon City,5.3,₺2.673,Kadıköy 9.9 km uzaklıkta
Beethoven & Suite,9.3,₺3.669,Kadıköy 10.4 km uzaklıkta
Danis Hotel,8.0,₺2.858,Kadıköy 11.1 km uzaklıkta
Favori,8.2,₺2.442,Kadıköy 11.5 km uzaklıkta
Sultan Mehmed,9.8,₺3.381,Kadıköy 9.4 km uzaklıkta
Hotel Zurich Istanbul,8.1,₺2.474,Kadıköy 11.0 km uzaklıkta
Ilkbal Deluxe Hotel,6.1,₺2.217,Kadıköy 10.9 km uzaklıkta
Q Inn Old City,7.5,₺1.052,Kadıköy 9.5 km uzaklıkta
RAMADA ENCORE BY WYNDHAM ISTANBUL SISLI,9.4,₺3.045,Kadıköy 12.0 km uzaklıkta
Carina Gold Hotel,9.7,₺3.088,Kadıköy 9.8 km uzaklıkta
Hotel Cihangir Ceylan Suite,6.6,₺2.607,Kadıköy 10.0 km uzaklıkta
Tophane Suites,8.6,₺2.306,Kadıköy 10.1 km uzaklıkta
Next2,8.2,₺2.464,Kadıköy 10.4 km uzaklıkta
Best Nobel Hotel Istanbul,6.3,₺1.683,Kadıköy 9.6 km uzaklıkta
Golden Horn - Special Class,8.0,₺1.770,Kadıköy 9.6 km uzaklıkta
Rooms Inn Taxim,7.7,₺2.550,Kadıköy 10.6 km uzaklıkta
Hotel Port Tophane-I Amire,8.2,₺1.868,Kadıköy 10.0 km uzaklıkta
Hammamhane,10,₺2.809,Kadıköy 10.3 km uzaklıkta
Just Inn,7.7,₺1.149,Kadıköy 9.6 km uzaklıkta
Valens Hotel Downtown,6.9,₺2.892,Kadıköy 11.6 km uzaklıkta
Emporium Hotel,7.6,₺1.997,Kadıköy 10.6 km uzaklıkta
Lime Garden Hotel,7.2,₺2.464,Kadıköy 10.4 km uzaklıkta
Balin,7.8,₺2.132,Kadıköy 10.4 km uzaklıkta
Hotel Taxim Lounge,8.2,₺2.234,Kadıköy 10.4 km uzaklıkta
Black Bird,7.9,₺2.046,Kadıköy 11.2 km uzaklıkta
Novus Pera Hotel,9.4,₺2.679,Kadıköy 10.7 km uzaklıkta
Hotel Merial,8.8,₺2.380,Kadıköy 9.5 km uzaklıkta
Beyazithan Suites,7.7,₺1.391,Kadıköy 10.1 km uzaklıkta
Yusuf Bereket,8.8,₺2.920,Kadıköy 9.8 km uzaklıkta
Gulhanepark Hotel & Spa Istanbul,7.6,₺1.664,Kadıköy 9.5 km uzaklıkta
Nabu Hotel Karaköy,8.6,₺1.882,Kadıköy 10.0 km uzaklıkta
Pera Parma,8.4,₺2.763,Kadıköy 10.7 km uzaklıkta
Jakaranda Hotel,7.9,₺1.884,Kadıköy 10.2 km uzaklıkta
Taksim Premium Hotel,7.4,₺1.943,Kadıköy 10.5 km uzaklıkta
Azzap Hotel Galata,9.1,₺3.117,Kadıköy 10.3 km uzaklıkta
Hotel Taksimdays,8.8,₺1.925,Kadıköy 9.8 km uzaklıkta
Raymond Hotel,8.0,₺4.405,Kadıköy 9.5 km uzaklıkta
Dora Pera Hotel,8.5,₺2.710,Kadıköy 10.7 km uzaklıkta
Millennium Istanbul Golden Horn,9.0,₺2.892,Kadıköy 13.4 km uzaklıkta
Taximtown,6.9,₺1.916,Kadıköy 10.5 km uzaklıkta
Royal Tophane,8.4,₺2.087,Kadıköy 10.0 km uzaklıkta
Taksimbul Design Hotel,9.8,₺2.093,Kadıköy 10.2 km uzaklıkta
Valide Osmanbey Şişli,6.8,₺1.775,Kadıköy 11.5 km uzaklıkta
The Marions,8.3,₺2.319,Kadıköy 10.1 km uzaklıkta
Puffin Hostel Istanbul,8.7,₺1.779,Kadıköy 9.7 km uzaklıkta
Hotel Surmeli Istanbul,6.5,₺2.869,Kadıköy 11.6 km uzaklıkta
Elyka Hotel,9.1,₺2.035,Kadıköy 10.3 km uzaklıkta
Old City Sultanahmet,6.0,₺974,Kadıköy 9.8 km uzaklıkta
Novel hotel,9.0,₺2.247,Kadıköy 10.9 km uzaklıkta
Hotel City Center,5.1,₺2.185,Kadıköy 10.2 km uzaklıkta
Hotel Agan,7.9,₺1.220,Kadıköy 9.6 km uzaklıkta
Galata Dream Hotel,7.6,₺2.153,Kadıköy 10.8 km uzaklıkta
World House Boutique Hotel,8.5,₺3.854,Kadıköy 10.4 km uzaklıkta
Hotel Grand Madrid,7.2,₺2.542,Kadıköy 11.0 km uzaklıkta
Regno Hotel,7.8,₺4.337,Kadıköy 11.9 km uzaklıkta
Hotel Darkhill,7.1,₺1.817,Kadıköy 10.8 km uzaklıkta
Santra Hotel,7.6,₺2.093,Kadıköy 11.3 km uzaklıkta
Hotel Meddusa,6.7,₺1.449,Kadıköy 9.6 km uzaklıkta
Hotel Grand Esen,7.0,₺1.298,Kadıköy 9.6 km uzaklıkta
Aleph Istanbul,6.7,₺909,Kadıköy 9.6 km uzaklıkta
Moss Suites,7.4,₺3.805,Kadıköy 10.5 km uzaklıkta
Sultan Corner Suites,7.5,₺2.583,Kadıköy 9.3 km uzaklıkta
The Legend Platine Suite,8.2,₺1.197,Kadıköy 10.4 km uzaklıkta
Valens Hotel Downtown,6.9,₺2.892,Kadıköy 11.6 km uzaklıkta
Milord Hotel,8.0,₺3.864,Kadıköy 11.8 km uzaklıkta
Safran Suites,8.7,₺1.098,Kadıköy 9.4 km uzaklıkta
Kent Istanbul,8.6,₺2.583,Kadıköy 10.7 km uzaklıkta
Kadirga Antik Hotel,6.6,₺1.130,Kadıköy 9.8 km uzaklıkta
Pege Hotel,9.3,₺2.562,Kadıköy 9.5 km uzaklıkta
Istport Hotel,8.6,₺1.483,Kadıköy 9.8 km uzaklıkta
Maroon Tomtom,7.3,₺1.656,Kadıköy 10.6 km uzaklıkta
Dundar Hotel Spa,7.0,₺1.692,Kadıköy 10.5 km uzaklıkta
Hotel Klas,7.0,₺1.996,Kadıköy 11.0 km uzaklıkta
Saba,9.5,₺1.402,Kadıköy 9.5 km uzaklıkta
Eliza Hotel Istanbul,8.5,₺2.956,Kadıköy 10.0 km uzaklıkta
Antik Sofia,8.3,₺1.731,Kadıköy 9.6 km uzaklıkta
The Hotel Beyaz Saray & Spa,7.6,₺1.932,Kadıköy 10.4 km uzaklıkta
38 Hotel,8.7,₺2.549,Kadıköy 11.8 km uzaklıkta
Carlton Hotel Istanbul,5.7,₺1.505,Kadıköy 11.1 km uzaklıkta
Hotel Tulip House,7.6,₺836,Kadıköy 9.7 km uzaklıkta
Beethoven Istanbul,8.2,₺3.084,Kadıköy 11.1 km uzaklıkta
Astan Hotel Taksim,8.8,₺1.739,Kadıköy 10.2 km uzaklıkta
Ahmet Efendi Konağı,7.7,₺1.610,Kadıköy 10.3 km uzaklıkta
A Plus Residence,6.5,₺1.118,Kadıköy 10.6 km uzaklıkta
White Monarch,5.5,₺4.954,Kadıköy 11.9 km uzaklıkta
Regard,7.8,₺2.371,Kadıköy 11.2 km uzaklıkta
Oldcity Viva,6.8,₺1.186,Kadıköy 9.6 km uzaklıkta
Nusretbey Hotel,8.8,₺1.782,Kadıköy 9.8 km uzaklıkta
Ferman Hilal,7.4,₺2.056,Kadıköy 10.6 km uzaklıkta
Hotel Pera,7.2,₺2.763,Kadıköy 10.6 km uzaklıkta
Gulliver Mansion Hotel,9.0,₺1.764,Kadıköy 9.8 km uzaklıkta
Gatto Residence,9.3,₺3.174,Kadıköy 11.8 km uzaklıkta
Mataraci Konak,8.5,₺1.458,Kadıköy 9.6 km uzaklıkta
Hotel Baykal,7.8,₺7.702,Kadıköy 9.8 km uzaklıkta
Romantic Mansion,7.5,₺1.881,Kadıköy 9.4 km uzaklıkta
Grand Yavuz,4.5,₺1.948,Kadıköy 9.9 km uzaklıkta
Taxim Express,6.9,₺2.512,Kadıköy 10.8 km uzaklıkta
Arti Hotel,5.2,₺1.288,Kadıköy 9.8 km uzaklıkta
Gold,7.8,₺2.737,Kadıköy 10.8 km uzaklıkta
Hotel Grand Ünal,7.5,₺1.343,Kadıköy 11.1 km uzaklıkta
Inntel Hotel Istanbul,7.6,₺1.991,Kadıköy 10.6 km uzaklıkta
Levent Otel Istanbul,8.5,₺3.671,Kadıköy 12.8 km uzaklıkta
Hotel Blue Istanbul,6.6,₺746,Kadıköy 9.8 km uzaklıkta
Sultanahmet Çeşme,7.7,₺1.204,Kadıköy 9.6 km uzaklıkta
The Maestro Hotel,9.5,₺8.361,Kadıköy 9.6 km uzaklıkta
Hotel Le Mirage,7.4,₺2.200,Kadıköy 11.7 km uzaklıkta
Sorriso,7.4,₺1.755,Kadıköy 11.2 km uzaklıkta
Lavandula Hotel,7.0,₺2.410,Kadıköy 12.9 km uzaklıkta
Elephant Galata,8.2,₺2.029,Kadıköy 10.2 km uzaklıkta
Rhythm Hotel,6.9,₺784,Kadıköy 9.8 km uzaklıkta
Pembe Apart,7.4,₺1.127,Kadıköy 9.8 km uzaklıkta
Hotel Istanbul Comfort,6.8,₺1.224,Kadıköy 9.8 km uzaklıkta
Pera Rose,7.2,₺1.772,Kadıköy 10.7 km uzaklıkta
Dosso Dossi Hotels Downtown,8.4,₺2.897,Kadıköy 12.5 km uzaklıkta
Beyazit Palace Hotel,8.0,₺1.821,Kadıköy 10.7 km uzaklıkta
Renata Boutique,9.4,₺4.157,Kadıköy 11.6 km uzaklıkta
Sunlife Old City,7.8,₺2.556,Kadıköy 9.6 km uzaklıkta
Bekdaş,7.0,₺1.480,Kadıköy 10.7 km uzaklıkta
Maroon Pera,7.8,₺1.901,Kadıköy 10.7 km uzaklıkta
Peradays,9.6,₺2.211,Kadıköy 10.8 km uzaklıkta
Nuru Ziya Suites,8.7,₺1.880,Kadıköy 10.5 km uzaklıkta
Linda,5.0,₺2.055,Kadıköy 10.4 km uzaklıkta
Hotel Sahinler,7.1,₺1.781,Kadıköy 11.0 km uzaklıkta
Grand Sağcanlar,7.4,₺2.283,Kadıköy 11.1 km uzaklıkta
Art City Istanbul,6.4,₺691,Kadıköy 9.7 km uzaklıkta
Milano Hotel&SPA Sultanahmet,5.6,₺878,Kadıköy 10.4 km uzaklıkta
Heart Of Karaköy Istanbul,8.4,₺1.745,Kadıköy 10.1 km uzaklıkta
Oran Hotel Istanbul,7.3,₺1.817,Kadıköy 11.0 km uzaklıkta
Hotel Taximist,8.3,₺1.269,Kadıköy 10.7 km uzaklıkta
Laleli G,7.2,₺1.568,Kadıköy 10.9 km uzaklıkta
Hotel Grand Emir,6.5,₺1.274,Kadıköy 10.5 km uzaklıkta
Mansion By Cheers,7.8,₺1.860,Kadıköy 9.0 km uzaklıkta
Hotel Grand Beyazid,6.1,₺2.158,Kadıköy 10.4 km uzaklıkta
Sipahi,3.9,₺1.631,Kadıköy 9.3 km uzaklıkta
Hotel Grand Bazaar,8.0,₺1.311,Kadıköy 10.2 km uzaklıkta
Grand Kavi Hotel,9.0,₺1.451,Kadıköy 10.2 km uzaklıkta
Hampton By Hilton Istanbul Old City,8.7,₺2.315,Kadıköy 11.6 km uzaklıkta
Yigitalp Hotel,8.5,₺2.439,Kadıköy 11.1 km uzaklıkta
Istanbul Grand Aparts,6.7,₺1.127,Kadıköy 10.2 km uzaklıkta
Blisstanbul Hotel,8.3,₺2.301,Kadıköy 12.1 km uzaklıkta
Luna Suites Taksim,7.2,₺926,Kadıköy 10.6 km uzaklıkta
Grand Fatih Hotel,4.1,₺952,Kadıköy 9.8 km uzaklıkta
Delta Hotel Istanbul,7.0,₺1.732,Kadıköy 11.2 km uzaklıkta
River,7.3,₺2.753,Kadıköy 11.2 km uzaklıkta
TK Taxim Bosphorus Hotel,6.7,₺2.169,Kadıköy 10.7 km uzaklıkta
Hotel Antique,7.6,₺1.486,Kadıköy 9.3 km uzaklıkta
Serenity Hotel Istanbul,6.6,₺1.070,Kadıköy 9.6 km uzaklıkta
Taksim Line,5.6,₺2.174,Kadıköy 10.4 km uzaklıkta
Istanbul Paris,6.9,₺1.209,Kadıköy 9.7 km uzaklıkta
Unique Suite Hotel,6.4,₺1.132,Kadıköy 10.7 km uzaklıkta
Bankerhan,9.2,₺2.640,Kadıköy 10.3 km uzaklıkta
Benler Hotel Laleli Istanbul,8.0,₺1.568,Kadıköy 10.7 km uzaklıkta
Hotel Divani Ali,7.2,₺1.932,Kadıköy 10.1 km uzaklıkta
Hotel MOLA Galata,8.7,₺1.691,Kadıköy 10.8 km uzaklıkta
Martinenz,6.5,₺1.808,Kadıköy 11.0 km uzaklıkta
Hotel Ramada and Suites Istanbul Sisli,7.1,₺3.446,Kadıköy 12.8 km uzaklıkta
Mini House,5.9,₺868,Kadıköy 10.0 km uzaklıkta
Magnificent,6.3,₺1.037,Kadıköy 9.6 km uzaklıkta
Faros Hotel Taksim,7.8,₺2.883,Kadıköy 10.6 km uzaklıkta
Emirhan,9.3,₺1.304,Kadıköy 9.7 km uzaklıkta
Istanbul Trend,7.0,₺1.959,Kadıköy 11.2 km uzaklıkta
New Pera,7.7,₺1.652,Kadıköy 10.7 km uzaklıkta
Eterno Hotel,5.6,₺1.691,Kadıköy 10.6 km uzaklıkta
Frida Suites,8.7,₺3.161,Kadıköy 10.0 km uzaklıkta
Turvan,5.3,₺867,Kadıköy 9.7 km uzaklıkta
Hotel Grand Mark,6.9,₺1.361,Kadıköy 10.2 km uzaklıkta
Hotel Kumru,8.5,₺1.354,Kadıköy 9.7 km uzaklıkta
Hotel Hayriye Hanim Konagi,8.4,₺1.435,Kadıköy 10.8 km uzaklıkta
Hotel Wame Suite Nisantasi,7.8,₺2.429,Kadıköy 11.4 km uzaklıkta
Alpinn Hotel Due,8.4,₺2.041,Kadıköy 11.1 km uzaklıkta
Tulip City,6.8,₺2.325,Kadıköy 10.7 km uzaklıkta
La Villa,7.6,₺2.640,Kadıköy 10.6 km uzaklıkta
May Hotel Istanbul,6.4,₺1.257,Kadıköy 10.2 km uzaklıkta
Ottoman's Life Boutique Hotel,7.7,₺2.576,Kadıköy 12.1 km uzaklıkta
Balo,6.2,₺2.771,Kadıköy 10.7 km uzaklıkta
